COD_CLIENTE	COD_PEDIDO	CODIGO_PRODUTO	DEPTO	QUANTIDADE	VALOR_UNITARIO	QTD_PARCELAS	DT_PEDIDO	MEIO_PAGTO	STATUS_PAGAMENTO
2777634	1677545	872025531	TELEFONIA	1	 1.457,98 	6	05/10/2016	CC	APROVADO
2777634	1682609	898534601	TELEFONIA	1	 339,54 	6	12/10/2016	CC	APROVADO
2777634	1682609	901448680	TELEFONIA	2	 561,47 	6	12/10/2016	CC	CANCELADO
2777634	1701134	903491868	TELEFONIA	1	 656,99 	8	22/10/2016	CC	APROVADO
2777634	1713215	863819942	TELEFONIA	1	 836,98 	6	26/10/2016	CC	APROVADO
2777634	1722331	895151291	DECORACAO	2	 276,74 	8	02/11/2016	CC	CANCELADO
2777634	1722331	865693254	TELEFONIA	2	 647,13 	8	02/11/2016	CC	APROVADO
2777634	1722331	869793686	TELEFONIA	1	 554,41 	8	02/11/2016	CC	APROVADO
2777634	1722331	869810080	TELEFONIA	1	 554,36 	8	02/11/2016	CC	APROVADO
2777634	1722331	879948306	TELEFONIA	1	 818,30 	8	02/11/2016	CC	APROVADO
2777634	1722331	881966609	TELEFONIA	1	 638,50 	8	02/11/2016	CC	APROVADO
2777634	1722331	901478766	TELEFONIA	1	 502,34 	8	02/11/2016	CC	APROVADO
2777634	1722331	902377027	TELEFONIA	1	 393,35 	8	02/11/2016	CC	APROVADO
2777634	1739900	879948306	TELEFONIA	1	 1.001,69 	6	13/11/2016	CC	APROVADO
2777634	1739900	890248869	TELEFONIA	1	 1.001,68 	6	13/11/2016	CC	APROVADO
2777634	1744327	842071614	DECORACAO	1	 331,18 	6	17/11/2016	CC	APROVADO
2777634	1744327	895151291	DECORACAO	2	 283,94 	6	17/11/2016	CC	APROVADO
2777634	1744314	870905020	TELEFONIA	1	 827,98 	6	17/11/2016	CC	APROVADO
2777634	1744314	873338276	TELEFONIA	1	 571,25 	6	17/11/2016	CC	APROVADO
2777634	1744314	873338388	TELEFONIA	2	 579,79 	6	17/11/2016	CC	APROVADO
2777634	1744314	879433218	TELEFONIA	2	 502,61 	6	17/11/2016	CC	APROVADO
2777634	1744314	903492015	TELEFONIA	1	 727,15 	6	17/11/2016	CC	APROVADO
2777634	1744314	903889615	TELEFONIA	1	 727,15 	6	17/11/2016	CC	APROVADO
2777634	1744317	905426598	TELEFONIA	3	 642,59 	10	17/11/2016	CC	APROVADO
2777634	1775070	865692463	TELEFONIA	1	 698,42 	6	01/12/2016	CC	CANCELADO
2777634	1775070	870905020	TELEFONIA	1	 737,78 	6	01/12/2016	CC	APROVADO
2777634	1775070	876453941	TELEFONIA	1	 898,64 	6	01/12/2016	CC	APROVADO
2777634	1775070	880375460	TELEFONIA	1	 557,12 	6	01/12/2016	CC	APROVADO
2777634	1775070	905426598	TELEFONIA	1	 635,09 	6	01/12/2016	CC	APROVADO
2777634	1786231	879666045	TELEFONIA	1	 450,86 	6	08/12/2016	CC	APROVADO
2777634	1786231	880375691	TELEFONIA	1	 304,59 	6	08/12/2016	CC	APROVADO
2777634	1786231	886490653	TELEFONIA	2	 212,65 	6	08/12/2016	CC	APROVADO
2777634	1817564	879672919	TELEFONIA	1	 554,38 	6	29/12/2016	CC	APROVADO
2777634	1817564	902377027	TELEFONIA	2	 370,34 	6	29/12/2016	CC	APROVADO
2777634	1922351	918103696	TELEFONIA	1	 658,78 	6	23/08/2017	CC	APROVADO
2777634	1925609	881414575	TELEFONIA	1	 1.611,28 	6	01/09/2017	CC	APROVADO
2777634	1925609	906806858	TELEFONIA	1	 556,27 	6	01/09/2017	CC	APROVADO
2777634	1925609	918103696	TELEFONIA	1	 675,65 	6	01/09/2017	CC	APROVADO
2777634	1925609	921658870	TELEFONIA	1	 513,14 	6	01/09/2017	CC	APROVADO
2777634	1939085	925935730	TELEFONIA	1	 674,99 	6	13/10/2017	CC	APROVADO
2777634	1945096	879433218	TELEFONIA	1	 363,68 	6	21/10/2017	CC	APROVADO
2777634	1945096	918103696	TELEFONIA	1	 597,77 	6	21/10/2017	CC	APROVADO
2777634	1947069	925934610	TELEFONIA	1	 629,99 	6	25/10/2017	CC	APROVADO
2777634	1951772	919446849	TELEFONIA	1	 737,98 	6	01/11/2017	CC	APROVADO
2777634	1958242	918103696	TELEFONIA	1	 678,00 	6	12/11/2017	CC	APROVADO
2777634	1958242	919446849	TELEFONIA	1	 734,98 	6	12/11/2017	CC	APROVADO
2777634	1974111	906806858	TELEFONIA	1	 521,99 	6	22/11/2017	CC	APROVADO
2777634	1974111	927107859	TELEFONIA	1	 719,99 	6	22/11/2017	CC	APROVADO
2777634	1974111	927317817	TELEFONIA	1	 719,99 	6	22/11/2017	CC	APROVADO
2777634	1975806	814764040	DECORACAO	1	 215,99 	6	26/11/2017	CC	APROVADO
2777634	1977750	927988788	TV	1	 1.403,99 	6	01/12/2017	CC	APROVADO
2777634	1983183	927988788	TV	1	 1.347,30 	6	06/12/2017	CC	APROVADO
2777634	1984128	906798136	TELEFONIA	1	 835,41 	6	08/12/2017	CC	APROVADO
2777634	1984128	921601953	TELEFONIA	1	 462,15 	6	08/12/2017	CC	APROVADO
2777634	1984128	921651737	TELEFONIA	1	 835,41 	6	08/12/2017	CC	APROVADO
2777634	1986946	881414575	TELEFONIA	1	 1.619,99 	6	10/12/2017	CC	APROVADO
2777634	1993710	906798136	TELEFONIA	1	 854,99 	6	23/12/2017	CC	APROVADO
2777634	1993755	921651737	TELEFONIA	1	 854,99 	6	23/12/2017	CC	APROVADO
2777634	1999468	906798136	TELEFONIA	1	 872,98 	6	07/01/2018	CC	APROVADO
2777634	2002890	906798136	TELEFONIA	1	 872,98 	6	18/01/2018	CC	APROVADO
2777634	2002890	927317817	TELEFONIA	1	 773,98 	6	18/01/2018	CC	APROVADO
2777634	2005075	921601953	TELEFONIA	1	 485,98 	6	26/01/2018	CC	APROVADO
2777634	2006299	906798136	TELEFONIA	1	 822,24 	6	31/01/2018	CC	APROVADO
2777634	2006299	921601953	TELEFONIA	1	 482,52 	6	31/01/2018	CC	APROVADO
2777634	2006299	921658870	TELEFONIA	1	 479,01 	6	31/01/2018	CC	APROVADO
2777634	2006299	925934610	TELEFONIA	1	 647,98 	6	31/01/2018	CC	APROVADO
2777634	2011888	906798136	TELEFONIA	1	 827,98 	6	16/02/2018	CC	APROVADO
2777634	2016260	791339499	DECORACAO	2	 55,76 	6	02/03/2018	CC	APROVADO
2777634	2016260	844528733	DECORACAO	1	 82,33 	6	02/03/2018	CC	APROVADO
2777634	2016260	858736647	DECORACAO	1	 97,64 	6	02/03/2018	CC	APROVADO
2777634	2016260	47907264	DECORACAO	3	 99,23 	6	02/03/2018	CC	APROVADO
2777634	2016260	925935730	TELEFONIA	1	 611,98 	6	02/03/2018	CC	APROVADO
2777634	2016260	927317817	TELEFONIA	1	 725,64 	6	02/03/2018	CC	APROVADO
2777634	2016260	927133332	TV	1	 780,93 	6	02/03/2018	CC	APROVADO
2777634	2017247	921651737	TELEFONIA	1	 823,08 	6	04/03/2018	CC	APROVADO
2777634	2017247	926661189	TELEFONIA	1	 735,70 	6	04/03/2018	CC	APROVADO
2777634	2020371	925410828	TELEFONIA	1	 1.188,54 	10	10/03/2018	CC	APROVADO
2777634	2020371	927763661	TELEFONIA	1	 1.090,23 	10	10/03/2018	CC	APROVADO
2777634	2023086	770914458	ELETRODOMESTICO	3	 50,99 	10	17/03/2018	CC	APROVADO
2777634	2022972	922446090	TELEFONIA	1	 683,98 	10	17/03/2018	CC	APROVADO
2777634	2023086	925934610	TELEFONIA	1	 647,98 	10	17/03/2018	CC	APROVADO
2777634	2023086	925935730	TELEFONIA	2	 644,39 	10	17/03/2018	CC	APROVADO
2777634	2023791	922295674	TELEFONIA	1	 683,98 	8	21/03/2018	CC	APROVADO
2777634	2027618	927107600	TELEFONIA	1	 737,98 	6	05/04/2018	CC	APROVADO
2777634	2027618	927107859	TELEFONIA	1	 737,98 	6	05/04/2018	CC	APROVADO
2777634	2030529	840083467	BEBES	3	 24,96 	6	13/04/2018	CC	APROVADO
2777634	2030529	891670660	BEBES	4	 107,82 	6	13/04/2018	CC	APROVADO
2777634	2030529	928165041	BEBES	2	 173,40 	6	13/04/2018	CC	APROVADO
2777634	2030529	925935730	TELEFONIA	1	 612,17 	6	13/04/2018	CC	APROVADO
2777634	2032945	906798136	TELEFONIA	1	 782,98 	6	20/04/2018	CC	APROVADO
2777634	2032945	927107600	TELEFONIA	1	 733,98 	6	20/04/2018	CC	APROVADO
2777634	2032945	927317817	TELEFONIA	1	 734,80 	6	20/04/2018	CC	APROVADO
2777634	2033988	906798136	TELEFONIA	1	 809,98 	6	22/04/2018	CC	APROVADO
2777634	2033988	930282422	TV	1	 778,48 	6	22/04/2018	CC	APROVADO
2777634	2039391	927107600	TELEFONIA	1	 725,47 	6	04/05/2018	CC	APROVADO
2777634	2039391	927317817	TELEFONIA	1	 725,80 	6	04/05/2018	CC	APROVADO
